"Observation station","Year","Month","Day","Time [Local time]","Maximum temperature [°C]","Minimum temperature [°C]"
"Kustavi Isokari","2022","8","18","03:00","22.3","18.2"
"Kustavi Isokari","2022","8","19","03:00","23.6","18.6"
"Kustavi Isokari","2022","8","20","03:00","23.8","20.4"
"Kustavi Isokari","2022","8","21","03:00","21.3","15.7"
"Kustavi Isokari","2022","8","22","03:00","19.2","15.9"
"Kustavi Isokari","2022","8","23","03:00","19.8","15.7"
"Kustavi Isokari","2022","8","24","03:00","19.1","15.3"
"Kustavi Isokari","2022","8","25","03:00","19.2","15.5"
"Kustavi Isokari","2022","8","26","03:00","19.6","15.9"
"Kustavi Isokari","2022","8","27","03:00","21.6","16.6"
"Kustavi Isokari","2022","8","28","03:00","19.7","14.1"
"Kustavi Isokari","2022","8","29","03:00","16.9","12.8"
"Kustavi Isokari","2022","8","30","03:00","16.2","12"
"Kustavi Isokari","2022","8","31","03:00","14","9.8"
"Kustavi Isokari","2022","9","1","03:00","12.6","9.2"
"Kustavi Isokari","2022","9","2","03:00","11.6","7.6"
"Kustavi Isokari","2022","9","3","03:00","13.3","7.8"
"Kustavi Isokari","2022","9","4","03:00","12.4","7.4"
"Kustavi Isokari","2022","9","5","03:00","11.6","7.4"
"Kustavi Isokari","2022","9","6","03:00","15.5","8.8"
"Kustavi Isokari","2022","9","7","03:00","11.9","8.9"
"Kustavi Isokari","2022","9","8","03:00","12.2","7.6"
"Kustavi Isokari","2022","9","9","03:00","14.6","9.9"
"Kustavi Isokari","2022","9","10","03:00","15.8","9.3"
"Kustavi Isokari","2022","9","11","03:00","15.4","11.1"
"Kustavi Isokari","2022","9","12","03:00","16.1","8.7"
"Kustavi Isokari","2022","9","13","03:00","14.3","12.8"
"Kustavi Isokari","2022","9","14","03:00","14.4","11.4"
"Kustavi Isokari","2022","9","15","03:00","14.8","11.5"
"Kustavi Isokari","2022","9","16","03:00","13.5","10.4"
"Kustavi Isokari","2022","9","17","03:00","13.5","10.5"
"Kustavi Isokari","2022","9","18","03:00","13.2","10.7"
